origen_jefe,area_f,sexo_jefe,edad_tramo,quintil,expr,n,w_Educacion,w_Salud,w_Trabajo y Seg. Social,w_Vivienda y Entorno,w_Redes y Cohesion
Hogares inmigrantes,Rural,Mujer,Mayor (60+),III,21.0,1,21.0,0.0,42.0,21.0,0.0
Hogares inmigrantes,Urbano,Hombre,Adulto (30-59),I,3200.0,62,1745.0,650.0,2561.0,2534.0,1972.0
Hogares inmigrantes,Urbano,Hombre,Adulto (30-59),II,6938.0,117,3095.0,1385.0,4669.0,4096.0,4177.0
Hogares inmigrantes,Urbano,Hombre,Adulto (30-59),III,5794.0,103,1456.0,1622.0,2791.0,2250.0,2993.0
Hogares inmigrantes,Urbano,Hombre,Adulto (30-59),IV,7455.0,110,1575.0,937.0,3441.0,1207.0,3314.0
Hogares inmigrantes,Urbano,Hombre,Adulto (30-59),V,3527.0,46,436.0,529.0,1360.0,1002.0,1055.0
Hogares inmigrantes,Urbano,Hombre,Joven (≤29),I,832.0,14,594.0,504.0,667.0,1074.0,357.0
Hogares inmigrantes,Urbano,Hombre,Joven (≤29),II,2072.0,27,491.0,1153.0,1467.0,1470.0,1730.0
Hogares inmigrantes,Urbano,Hombre,Joven (≤29),III,1289.0,19,1132.0,533.0,903.0,835.0,436.0
Hogares inmigrantes,Urbano,Hombre,Joven (≤29),IV,1790.0,29,305.0,236.0,587.0,245.0,739.0
Hogares inmigrantes,Urbano,Hombre,Joven (≤29),V,600.0,9,0.0,91.0,172.0,101.0,331.0
Hogares inmigrantes,Urbano,Hombre,Mayor (60+),I,358.0,10,191.0,63.0,185.0,46.0,196.0
Hogares inmigrantes,Urbano,Hombre,Mayor (60+),II,291.0,5,150.0,0.0,196.0,63.0,124.0
Hogares inmigrantes,Urbano,Hombre,Mayor (60+),III,630.0,9,30.0,0.0,822.0,227.0,132.0
Hogares inmigrantes,Urbano,Hombre,Mayor (60+),IV,387.0,9,37.0,104.0,262.0,331.0,32.0
Hogares inmigrantes,Urbano,Hombre,Mayor (60+),V,219.0,4,33.0,30.0,60.0,33.0,0.0
Hogares inmigrantes,Urbano,Mujer,Adulto (30-59),I,9078.0,195,3968.0,2394.0,7405.0,6381.0,5301.0
Hogares inmigrantes,Urbano,Mujer,Adulto (30-59),II,9982.0,200,3655.0,2584.0,7015.0,5185.0,5862.0
Hogares inmigrantes,Urbano,Mujer,Adulto (30-59),III,7142.0,148,3030.0,2039.0,4803.0,2609.0,3638.0
Hogares inmigrantes,Urbano,Mujer,Adulto (30-59),IV,4804.0,80,1398.0,1201.0,2304.0,1367.0,1926.0
Hogares inmigrantes,Urbano,Mujer,Adulto (30-59),V,1161.0,23,57.0,78.0,259.0,127.0,505.0
Hogares inmigrantes,Urbano,Mujer,Joven (≤29),I,2643.0,35,999.0,1335.0,1868.0,2820.0,702.0
Hogares inmigrantes,Urbano,Mujer,Joven (≤29),II,2066.0,33,1149.0,700.0,1414.0,1748.0,1178.0
Hogares inmigrantes,Urbano,Mujer,Joven (≤29),III,1931.0,32,446.0,825.0,880.0,852.0,1096.0
Hogares inmigrantes,Urbano,Mujer,Joven (≤29),IV,1042.0,22,92.0,261.0,377.0,114.0,435.0
Hogares inmigrantes,Urbano,Mujer,Joven (≤29),V,141.0,4,0.0,13.0,13.0,29.0,29.0
Hogares inmigrantes,Urbano,Mujer,Mayor (60+),I,422.0,13,237.0,0.0,324.0,159.0,303.0
Hogares inmigrantes,Urbano,Mujer,Mayor (60+),II,512.0,16,347.0,164.0,742.0,302.0,251.0
Hogares inmigrantes,Urbano,Mujer,Mayor (60+),III,596.0,17,336.0,208.0,801.0,198.0,321.0
Hogares inmigrantes,Urbano,Mujer,Mayor (60+),IV,381.0,9,108.0,68.0,306.0,69.0,268.0
Hogares inmigrantes,Urbano,Mujer,Mayor (60+),V,178.0,3,0.0,166.0,155.0,0.0,297.0
