zona,estado_pob,area_f,sexo_jefe,edad_tramo,quintil,expr,n
Norte Grande,Pobreza multidimensional,Rural,Hombre,Mayor (60+),III,75.0,4
Norte Grande,Pobreza multidimensional,Rural,Hombre,Mayor (60+),IV,96.0,5
Norte Grande,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),I,268.0,3
Norte Grande,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),II,261.0,9
Norte Grande,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),III,593.0,12
Norte Grande,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),IV,115.0,2
Norte Grande,Pobreza multidimensional,Rural,Mujer,Joven (≤29),II,134.0,1
Norte Grande,Pobreza multidimensional,Rural,Mujer,Joven (≤29),III,9.0,1
Norte Grande,Pobreza multidimensional,Rural,Mujer,Mayor (60+),I,84.0,3
Norte Grande,Pobreza multidimensional,Rural,Mujer,Mayor (60+),II,66.0,3
Norte Grande,Pobreza multidimensional,Rural,Mujer,Mayor (60+),III,67.0,5
Norte Grande,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),I,611.0,8
Norte Grande,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),II,3099.0,62
Norte Grande,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),III,3719.0,68
Norte Grande,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),IV,2208.0,39
Norte Grande,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),V,511.0,8
Norte Grande,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),I,121.0,2
Norte Grande,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),II,471.0,8
Norte Grande,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),III,732.0,10
Norte Grande,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),IV,229.0,6
Norte Grande,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),V,29.0,1
Norte Grande,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),I,1128.0,23
Norte Grande,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),II,1509.0,38
Norte Grande,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),III,1097.0,26
Norte Grande,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),IV,525.0,13
Norte Grande,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),V,237.0,7
Norte Grande,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),I,1181.0,29
Norte Grande,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),II,5261.0,122
Norte Grande,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),III,3823.0,85
Norte Grande,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),IV,1357.0,27
Norte Grande,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),V,104.0,3
Norte Grande,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),I,78.0,1
