estado_pob,area_f,sexo_jefe,edad_tramo,quintil,expr,n
Pobreza por ingresos,Urbano,Hombre,Mayor (60+),III,725.0,8
Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),I,187700.0,2432
Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),II,66163.0,791
Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),III,1809.0,24
Pobreza por ingresos,Urbano,Mujer,Joven (≤29),I,25167.0,264
Pobreza por ingresos,Urbano,Mujer,Joven (≤29),II,17742.0,190
Pobreza por ingresos,Urbano,Mujer,Joven (≤29),III,1707.0,21
Pobreza por ingresos,Urbano,Mujer,Mayor (60+),I,128315.0,1893
Pobreza por ingresos,Urbano,Mujer,Mayor (60+),II,17392.0,273
Pobreza por ingresos,Urbano,Mujer,Mayor (60+),III,483.0,7
